Name,Position,Height,Weight,Age
Gary Matthews Jr.,Outfielder,75,225,32.51
Garret Anderson,Outfielder,75,225,34.67
Vladimir Guerrero,Outfielder,75,220,31.06
Chone Figgins,Outfielder,68,160,29.1
Juan Rivera,Outfielder,74,205,28.66
John Lackey,Starting Pitcher,78,235,28.35
Bartolo Colon,Starting Pitcher,71,250,33.77
Kelvim Escobar,Starting Pitcher,73,210,30.89
Dustin Moseley,Starting Pitcher,76,190,37.74
Ervin Santana,Starting Pitcher,74,160,24.14
Joe Saunders,Starting Pitcher,74,200,25.71
Jered Weaver,Starting Pitcher,79,205,24.41
Chris Resop,Relief Pitcher,75,222,24.32
Phil Seibel,Relief Pitcher,73,195,28.09
Justin Speier,Relief Pitcher,76,205,33.31
Darren Oliver,Relief Pitcher,74,220,36.4
Hector Carrasco,Relief Pitcher,74,220,37.36
Scot Shields,Relief Pitcher,73,170,31.61
Francisco Rodriguez,Relief Pitcher,72,185,25.14
Greg Jones,Relief Pitcher,74,195,30.29
Doug Mirabelli,Catcher,73,220,36.37
Jason Varitek,Catcher,74,230,34.89
George Kottaras,Catcher,72,180,23.79
Kevin Youkilis,First Baseman,73,220,27.96
Dustin Pedroia,Second Baseman,69,180,23.54
Alex Cora,Shortstop,72,180,31.37
Julio Lugo,Shortstop,73,170,31.29
Mike Lowell,Third Baseman,75,210,33.01
Wily Mo Pe?a,Outfielder,75,215,25.1
J.D. Drew,Outfielder,73,200,31.28
Manny Ramirez,Outfielder,72,213,34.75
Brandon Moss,Outfielder,72,180,23.46
David Murphy,Outfielder,76,192,25.37
Eric Hinske,Outfielder,74,235,29.57
Coco Crisp,Outfielder,72,185,27.33
David Ortiz,Designated Hitter,76,230,31.28
Curt Schilling,Starting Pitcher,77,235,40.29
Tim Wakefield,Starting Pitcher,74,210,40.58
Josh Beckett,Starting Pitcher,77,222,26.79
Matt Clement,Starting Pitcher,75,210,32.55
Jonathan Papelbon,Starting Pitcher,76,230,26.27
Kyle Snyder,Starting Pitcher,80,220,29.47
Devern Hansack,Starting Pitcher,74,180,29.07
Jon Lester,Starting Pitcher,74,190,23.15
Kason Gabbard,Starting Pitcher,75,200,24.9
Craig Hansen,Relief Pitcher,78,210,23.29
Hideki Okajima,Relief Pitcher,73,194,31.18
Craig Breslow,Relief Pitcher,73,180,26.56
Manny Delcarmen,Relief Pitcher,74,190,25.03
Brendan Donnelly,Relief Pitcher,75,240,35.66
Javier Lopez,Relief Pitcher,76,200,29.64
J.C. Romero,Relief Pitcher,71,198,30.74
Joel Pineiro,Relief Pitcher,73,200,28.43
Julian Tavarez,Relief Pitcher,74,195,33.77
Mike Timlin,Relief Pitcher,76,210,40.97
Nick DeBarr,Relief Pitcher,76,220,23.52
Victor Martinez,Catcher,74,190,28.19
Kelly Shoppach,Catcher,73,210,26.84
Ryan Garko,First Baseman,74,225,26.16
Joe Inglett,Second Baseman,70,180,28.67
Josh Barfield,Second Baseman,72,185,24.2
Hector Luna,Second Baseman,73,170,27.08
Jhonny Peralta,Shortstop,73,185,24.76
Andy Marte,Third Baseman,73,185,23.36
Ben Francisco,Outfielder,73,180,25.35
Shin-Soo Choo,Outfielder,71,178,24.63
Franklin Gutierrez,Outfielder,74,175,24.02
Grady Sizemore,Outfielder,74,200,24.58
Jason Michaels,Outfielder,72,204,30.82
Trot Nixon,Outfielder,74,211,32.89
David Dellucci,Outfielder,71,190,33.33
Casey Blake,Outfielder,74,210,33.52
Travis Hafner,Designated Hitter,75,240,29.74
Paul Byrd,Starting Pitcher,73,190,36.24
Cliff Lee,Starting Pitcher,75,190,28.5
Jake Westbrook,Starting Pitcher,75,185,29.42
C.C. Sabathia,Starting Pitcher,79,290,26.61
Jeremy Sowers,Starting Pitcher,73,175,23.79
Rafael Perez,Relief Pitcher,75,185,24.96
Brian Slocum,Relief Pitcher,76,200,25.93
Edward Mujica,Relief Pitcher,74,220,22.81
Fernando Cabrera,Relief Pitcher,76,170,25.29
Tom Mastny,Relief Pitcher,78,220,26.07
Juan Lara,Relief Pitcher,74,190,26.09
Fausto Carmona,Relief Pitcher,76,220,23.23
Aaron Fultz,Relief Pitcher,72,205,33.49
Rafael Betancourt,Relief Pitcher,74,200,31.84
Roberto Hernandez,Relief Pitcher,76,250,42.3
Joe Borowski,Relief Pitcher,74,225,35.82
Matt Miller,Relief Pitcher,75,215,35.27
Jason Davis,Relief Pitcher,78,210,26.81
Mike Piazza,Catcher,75,215,38.49
Jason Kendall,Catcher,72,195,32.68
Adam Melhuse,Catcher,74,200,34.93
Nick Swisher,First Baseman,72,194,26.26
Dan Johnson,First Baseman,74,220,27.56
Donald Murphy,Second Baseman,70,180,23.98
Mark Ellis,Second Baseman,71,180,29.73
Marco Scutaro,Shortstop,70,170,31.33
Bobby Crosby,Shortstop,75,195,27.13
Mark Kiger,Shortstop,71,180,26.75
Antonio Perez,Third Baseman,71,170,27.09
Eric Chavez,Third Baseman,73,206,29.23
Milton Bradley,Outfielder,72,205,28.88
Shannon Stewart,Outfielder,71,200,33.01
Bobby Kielty,Outfielder,73,225,30.57
Mark Kotsay,Outfielder,72,201,31.24
Ryan Goleski,Outfielder,75,225,24.95
Jeremy Brown,Designated Hitter,70,226,27.35
Jason Windsor,Starting Pitcher,74,233,24.62
David Shafer,Starting Pitcher,74,180,24.98
Joe Blanton,Starting Pitcher,75,225,26.22
Brad Halsey,Starting Pitcher,73,180,26.04
Dan Haren,Starting Pitcher,77,220,26.45
Rich Harden,Starting Pitcher,73,180,25.25
Joe Kennedy,Starting Pitcher,76,237,27.77
Esteban Loaiza,Starting Pitcher,75,215,35.16
Alan Embree,Relief Pitcher,74,190,37.1
Jay Witasick,Relief Pitcher,76,235,34.51
Justin Duchscherer,Relief Pitcher,75,190,29.28
Kiko Calero,Relief Pitcher,73,180,32.14
Chad Gaudin,Relief Pitcher,71,165,23.94
Lenny DiNardo,Relief Pitcher,76,195,27.45
Scott Dunn,Relief Pitcher,75,200,28.77
Huston Street,Relief Pitcher,72,190,23.58
Ron Flores,Relief Pitcher,71,190,27.56
Jay Marshall,Relief Pitcher,77,185,24.01
Marcus McBeth,Relief Pitcher,73,185,26.52
Jorge Posada,Catcher,74,205,35.54
Wil Nieves,Catcher,71,190,29.43
Andy Phillips,First Baseman,72,205,29.9
Doug Mientkiewicz,First Baseman,74,206,32.7
Josh Phelps,First Baseman,75,220,28.8
Miguel Cairo,Second Baseman,73,208,32.82
Robinson Cano,Second Baseman,72,170,24.36
Derek Jeter,Shortstop,75,195,32.68
Alex Rodriguez,Third Baseman,75,210,31.59
Johnny Damon,Outfielder,74,190,33.32
Bobby Abreu,Outfielder,72,211,32.97
Hideki Matsui,Outfielder,74,230,32.72
Melky Cabrera,Outfielder,71,170,22.55
Kevin Thompson,Outfielder,70,185,27.45
Jason Giambi,Designated Hitter,75,230,36.14
Mike Mussina,Starting Pitcher,74,185,38.23
Carl Pavano,Starting Pitcher,77,241,31.14
Andy Pettitte,Starting Pitcher,77,225,34.71
Darrell Rasner,Starting Pitcher,75,210,26.13
Jeff Karstens,Starting Pitcher,75,175,24.43
Humberto Sanchez,Starting Pitcher,78,230,23.76
Chien-Ming Wang,Starting Pitcher,75,200,26.92
Sean Henn,Relief Pitcher,76,215,25.85
Scott Proctor,Relief Pitcher,73,198,30.16
Brian Bruney,Relief Pitcher,75,226,25.03
Chris Britton,Relief Pitcher,75,278,24.21
T.J. Beam,Relief Pitcher,79,215,26.51
Jose Veras,Relief Pitcher,77,230,26.36
Kyle Farnsworth,Relief Pitcher,76,240,30.88
Luis Vizcaino,Relief Pitcher,71,184,32.57
Mike Myers,Relief Pitcher,75,219,37.68
Mariano Rivera,Relief Pitcher,74,170,37.25
Ivan Rodriguez,Catcher,69,218,35.25
Vance Wilson,Catcher,71,190,33.95
Sean Casey,First Baseman,76,225,32.66
Chris Shelton,First Baseman,72,220,26.68
Omar Infante,Second Baseman,72,176,25.18
Placido Polanco,Second Baseman,70,190,31.39
Neifi Perez,Second Baseman,72,197,33.74
Carlos Guillen,Shortstop,73,204,31.42
Ramon Santiago,Shortstop,71,167,27.5
Tony Giarratano,Shortstop,72,180,24.25
Brandon Inge,Third Baseman,71,195,29.78
Craig Monroe,Outfielder,73,220,30
Magglio Ordo?ez,Outfielder,72,215,33.09
Curtis Granderson,Outfielder,73,185,25.96
Brent Clevlen,Outfielder,74,190,23.34
Marcus Thames,Outfielder,74,205,29.98
Gary Sheffield,Outfielder,72,205,38.28
Mike Rabelo,Designated Hitter,73,200,27.12
Zach Miner,Starting Pitcher,75,200,24.97
Jeremy Bonderman,Starting Pitcher,74,210,24.34
Nate Robertson,Starting Pitcher,74,215,29.49
Justin Verlander,Starting Pitcher,77,200,24.02
Virgil Vasquez,Starting Pitcher,75,205,24.73
Kenny Rogers,Starting Pitcher,73,211,42.3
Mike Maroth,Starting Pitcher,72,190,29.54
Fernando Rodney,Relief Pitcher,71,208,29.95
Chad Durbin,Relief Pitcher,74,200,29.24
Jason Grilli,Relief Pitcher,77,210,30.3
Jose Mesa,Relief Pitcher,75,232,40.77
Todd Jones,Relief Pitcher,75,230,38.85
Joel Zumaya,Relief Pitcher,75,210,22.31
Jordan Tata,Relief Pitcher,78,220,25.44
Andrew Miller,Relief Pitcher,78,210,21.78
Yorman Bazardo,Relief Pitcher,74,202,22.64
Wilfredo Ledezma,Relief Pitcher,76,212,26.11
Roman Colon,Relief Pitcher,78,225,27.55
Edward Campusano,Relief Pitcher,76,170,24.63
Rene Rivera,Catcher,70,190,23.58
Kenji Johjima,Catcher,72,200,30.73
Richie Sexson,First Baseman,80,237,32.17
Ben Broussard,First Baseman,74,220,30.43
Jose Lopez,Second Baseman,74,170,23.27
Jose Vidro,Second Baseman,71,193,32.51
Yuniesky Betancourt,Shortstop,70,190,25.08
Oswaldo Navarro,Shortstop,72,150,22.41
Adrian Beltre,Third Baseman,71,220,27.9
Raul Ibanez,Outfielder,74,200,34.74
Jose Guillen,Outfielder,71,190,30.79
Jeremy Reed,Outfielder,72,185,25.71
Willie Bloomquist,Outfielder,71,185,29.26
Adam Jones,Outfielder,74,200,21.58
Ichiro Suzuki,Outfielder,69,172,33.36
Mike Morse,Outfielder,76,220,24.94
Felix Hernandez,Starting Pitcher,75,225,20.9
Ryan Feierabend,Starting Pitcher,75,190,21.52
Sean White,Starting Pitcher,76,195,25.85
Horacio Ramirez,Starting Pitcher,73,219,27.27
Cha Baek,Starting Pitcher,76,190,26.75
Miguel Batista,Starting Pitcher,73,197,36.03
Jeff Weaver,Starting Pitcher,77,200,30.52
Jarrod Washburn,Starting Pitcher,73,195,32.55
George Sherrill,Relief Pitcher,72,210,29.86
Julio Mateo,Relief Pitcher,72,177,29.58
J.J. Putz,Relief Pitcher,77,220,30.02
Chris Reitsma,Relief Pitcher,77,235,29.16
Cesar Jimenez,Relief Pitcher,71,180,22.3
Eric O'Flaherty,Relief Pitcher,74,195,22.06
Jon Huber,Relief Pitcher,74,195,25.65
Jake Woods,Relief Pitcher,73,190,25.49
Sean Green,Relief Pitcher,78,230,27.86
Mark Lowe,Relief Pitcher,75,190,23.73
Josh Paul,Catcher,73,200,31.78
Dioner Navarro,Catcher,70,190,23.06
Shawn Riggans,Catcher,74,190,26.6
Ty Wigginton,First Baseman,72,200,29.39
Brendan Harris,Second Baseman,73,200,26.51
Jorge Cantu,Second Baseman,73,184,25.08
Ben Zobrist,Shortstop,75,200,25.76
B.J. Upton,Third Baseman,75,180,22.52
Carl Crawford,Outfielder,74,219,25.57
Rocco Baldelli,Outfielder,76,187,25.43
Greg Norton,Outfielder,73,200,34.65
Elijah Dukes,Outfielder,74,220,22.68
Delmon Young,Outfielder,75,205,21.46
Jonny Gomes,Designated Hitter,73,205,26.27
Edwin Jackson,Starting Pitcher,75,190,23.47
Scott Kazmir,Starting Pitcher,72,170,23.1
Casey Fossum,Starting Pitcher,73,160,29.14
Jae Seo,Starting Pitcher,73,215,29.77
J.P. Howell,Starting Pitcher,72,175,23.85
Tim Corcoran,Starting Pitcher,74,205,28.88
Jason Hammel,Starting Pitcher,78,200,24.49
James Shields,Starting Pitcher,76,214,25.19
Brian Stokes,Starting Pitcher,73,200,27.48
Juan Salas,Relief Pitcher,74,190,28.31
Jeff Ridgway,Relief Pitcher,75,180,26.54
Ruddy Lugo,Relief Pitcher,70,205,26.77
Jae-Kuk Ryu,Relief Pitcher,75,220,23.75
Chad Orvella,Relief Pitcher,71,190,26.41
Dan Miceli,Relief Pitcher,72,215,36.47
Seth McClung,Relief Pitcher,78,235,26.06
Jon Switzer,Relief Pitcher,75,191,27.55
Shawn Camp,Relief Pitcher,73,200,31.28
Scott Dohmann,Relief Pitcher,73,181,29.04
Jason LaRue,Catcher,71,200,32.95
John Buck,Catcher,75,210,26.65
Ryan Shealy,First Baseman,77,240,27.5
Ross Gload,First Baseman,72,185,30.9
Esteban German,Second Baseman,69,165,29.09
Mark Grudzielanek,Second Baseman,73,190,36.67
Angel Sanchez,Second Baseman,74,185,23.44
Angel Berroa,Shortstop,72,175,29.09
Andres Blanco,Shortstop,70,155,22.89
Mark Teahen,Third Baseman,75,210,25.48
Joey Gathright,Outfielder,70,170,25.84
David DeJesus,Outfielder,72,175,27.2
Shane Costa,Outfielder,72,220,25.22
Mitch Maier,Outfielder,74,210,24.67
Reggie Sanders,Outfielder,73,205,39.25
Emil Brown,Outfielder,74,200,32.17
Mike Sweeney,Designated Hitter,75,225,33.61
John Bale,Starting Pitcher,76,205,32.77
Luke Hudson,Starting Pitcher,75,195,29.83
Scott Elarton,Starting Pitcher,80,240,31.02
Odalis Perez,Starting Pitcher,72,150,29.73
Gil Meche,Starting Pitcher,75,200,28.48
Neal Musser,Starting Pitcher,73,215,26.51
Brian Bannister,Starting Pitcher,74,202,26
Zack Greinke,Starting Pitcher,74,200,23.36
Jorge De La Rosa,Starting Pitcher,73,190,25.9
Todd Wellemeyer,Relief Pitcher,75,205,28.5
Jimmy Gobble,Relief Pitcher,75,190,25.62
Joel Peralta,Relief Pitcher,71,160,30.94
Ryan Braun,Relief Pitcher,73,215,26.59
Joakim Soria,Relief Pitcher,75,185,22.78
Ken Ray,Relief Pitcher,74,200,32.26
David Riske,Relief Pitcher,74,190,30.35
Octavio Dotel,Relief Pitcher,72,210,33.26
Joe Nelson,Relief Pitcher,74,185,32.35
Gerald Laird,Catcher,74,220,27.3
Miguel Ojeda,Catcher,74,190,32.08
Guillermo Quiroz,Catcher,73,202,25.25
Chris Stewart,Catcher,76,205,25.03
Mark Teixeira,First Baseman,75,220,26.89
Ian Kinsler,Second Baseman,72,175,24.69
Joaquin Arias,Shortstop,73,160,22.44
Michael Young,Shortstop,73,190,30.36
Hank Blalock,Third Baseman,73,200,26.27
Marlon Byrd,Outfielder,72,229,29.5
Brad Wilkerson,Outfielder,72,206,29.75
Sammy Sosa,Outfielder,72,220,38.3
Kenny Lofton,Outfielder,72,180,39.75
Frank Catalanotto,Outfielder,71,195,32.84
Nelson Cruz,Outfielder,75,175,26.66
Jason Botts,Designated Hitter,77,250,26.6
Robinson Tejeda,Starting Pitcher,75,188,24.94
John Rheinecker,Starting Pitcher,74,230,27.76
Edinson Volquez,Starting Pitcher,73,190,23.66
A.J. Murray,Starting Pitcher,75,200,24.96
Brandon McCarthy,Starting Pitcher,79,190,23.65
Vicente Padilla,Starting Pitcher,74,219,29.42
Kevin Millwood,Starting Pitcher,76,235,32.18
John Koronka,Starting Pitcher,73,180,26.66
Frank Francisco,Relief Pitcher,74,180,27.47
Francisco Cruceta,Relief Pitcher,74,180,25.66
Akinori Otsuka,Relief Pitcher,72,200,35.13
Eric Gagne,Relief Pitcher,74,234,31.15
Ron Mahay,Relief Pitcher,74,185,35.67
Joaquin Benoit,Relief Pitcher,75,220,29.6
Rick Bauer,Relief Pitcher,78,223,30.14
Josh Rupe,Relief Pitcher,74,200,24.53
Wes Littleton,Relief Pitcher,74,210,24.49
C.J. Wilson,Relief Pitcher,74,200,26.28
Scott Feldman,Relief Pitcher,77,210,24.06
Gregg Zaun,Catcher,70,190,35.88
Jason Phillips,Catcher,73,177,30.42
Lyle Overbay,First Baseman,74,227,30.09
Russ Adams,Second Baseman,73,180,26.5
Aaron Hill,Second Baseman,71,195,24.94
Jason Smith,Second Baseman,75,199,29.6
John McDonald,Shortstop,71,175,32.43
Royce Clayton,Shortstop,72,185,37.16
Troy Glaus,Third Baseman,77,240,30.57
John Hattig,Third Baseman,74,210,27.01
Reed Johnson,Outfielder,70,180,30.23
Alex Rios,Outfielder,77,194,26.03
Vernon Wells,Outfielder,73,225,28.23
Frank Thomas,Designated Hitter,77,275,38.76
Adam Lind,Designated Hitter,74,195,23.62
Shaun Marcum,Starting Pitcher,72,180,25.21
Casey Janssen,Starting Pitcher,76,205,25.45
Gustavo Chacin,Starting Pitcher,71,193,26.24
A.J. Burnett,Starting Pitcher,76,230,30.15
Roy Halladay,Starting Pitcher,78,230,29.8
John Thomson,Starting Pitcher,75,220,33.41
Tomo Ohka,Starting Pitcher,73,200,30.95
B.J. Ryan,Relief Pitcher,78,249,31.17
Scott Downs,Relief Pitcher,74,190,30.95
Brian Tallet,Relief Pitcher,79,208,29.44
Matt Roney,Relief Pitcher,75,245,27.14
Tracy Thorpe,Relief Pitcher,76,250,26.21
Jean Machi,Relief Pitcher,72,160,24.08
Brandon League,Relief Pitcher,75,192,23.96
Dustin McGowan,Relief Pitcher,75,220,24.94
Jason Frasor,Relief Pitcher,70,170,29.56
Francisco Rosario,Relief Pitcher,72,197,26.42
Davis Romero,Relief Pitcher,70,155,23.92
Jeremy Accardo,Relief Pitcher,74,190,25.23
Mike Redmond,Catcher,71,200,35.82
Joe Mauer,Catcher,76,220,23.87
Chris Heintz,Catcher,73,210,32.57
Justin Morneau,First Baseman,76,228,25.79
Luis Castillo,Second Baseman,71,190,31.47
Alexi Casilla,Second Baseman,69,160,22.61
Alejandro Machado,Second Baseman,72,184,24.85
Jason Bartlett,Shortstop,72,180,27.33
Luis Rodriguez,Third Baseman,69,180,26.67
Jeff Cirillo,Third Baseman,73,200,37.43
Nick Punto,Third Baseman,69,176,29.31
Jason Tyner,Outfielder,73,160,29.85
Michael Cuddyer,Outfielder,74,222,27.93
Torii Hunter,Outfielder,74,211,31.62
Lew Ford,Outfielder,72,195,30.55
Jason Kubel,Outfielder,71,200,24.77
Josh Rabe,Designated Hitter,74,210,28.38
Rondell White,Designated Hitter,73,225,35.02
Ramon Ortiz,Starting Pitcher,72,175,33.77
Johan Santana,Starting Pitcher,72,206,27.97
Carlos Silva,Starting Pitcher,76,240,27.85
Matt Garza,Starting Pitcher,76,185,23.26
Boof Bonser,Starting Pitcher,76,260,25.38
Francisco Liriano,Starting Pitcher,74,185,23.35
Scott Baker,Starting Pitcher,76,221,25.45
Pat Neshek,Relief Pitcher,75,205,26.49
Glen Perkins,Relief Pitcher,71,200,24
Julio DePaula,Relief Pitcher,72,170,24.16
Juan Rincon,Relief Pitcher,71,201,28.1
Jesse Crain,Relief Pitcher,73,205,25.65
Matt Guerrier,Relief Pitcher,75,185,28.58
Joe Nathan,Relief Pitcher,76,205,32.27
Dennys Reyes,Relief Pitcher,75,245,29.86
Brayan Pe?a,Catcher,71,220,25.14
Brian McCann,Catcher,75,210,23.03
Craig Wilson,First Baseman,74,220,30.25
Chris Woodward,Second Baseman,72,185,30.67
Pete Orr,Second Baseman,73,175,27.73
Martin Prado,Second Baseman,73,170,23.34
Tony Pe?a,Shortstop,73,180,25.94
Edgar Renteria,Shortstop,73,200,31.56
Chipper Jones,Third Baseman,76,210,34.85
Willy Aybar,Third Baseman,72,175,23.98
Jeff Francoeur,Outfielder,76,220,23.14
Matt Diaz,Outfielder,73,206,28.99
Kelly Johnson,Outfielder,73,180,25.02
Andruw Jones,Outfielder,73,210,29.85
Ryan Langerhans,Outfielder,75,195,27.03
Scott Thorman,Outfielder,75,200,25.15
T.J. Bohn,Outfielder,77,200,27.12
Tim Hudson,Starting Pitcher,73,164,31.63
Jonathan Johnson,Starting Pitcher,72,180,32.62
John Smoltz,Starting Pitcher,75,220,39.79
Mike Hampton,Starting Pitcher,70,195,34.47
Kyle Davies,Starting Pitcher,74,205,23.47
Chuck James,Starting Pitcher,72,170,25.31
Phil Stockman,Relief Pitcher,80,240,27.1
Macay McBride,Relief Pitcher,71,210,24.35
Joey Devine,Relief Pitcher,71,195,23.45
Peter Moylan,Relief Pitcher,74,200,28.24
Mike Gonzalez,Relief Pitcher,74,205,28.77
Lance Cormier,Relief Pitcher,73,192,26.53
Blaine Boyer,Relief Pitcher,75,190,25.64
Manny Acosta,Relief Pitcher,76,170,25.83
Bob Wickman,Relief Pitcher,73,240,38.06
Tanyon Sturtze,Relief Pitcher,77,200,36.38
Oscar Villarreal,Relief Pitcher,72,205,25.27
Rafael Soriano,Relief Pitcher,73,175,27.2
Chad Paronto,Relief Pitcher,77,250,31.59
Tyler Yates,Relief Pitcher,76,220,29.56
Henry Blanco,Catcher,71,224,35.5
Michael Barrett,Catcher,75,210,30.35
Geovany Soto,Catcher,73,195,24.11
Scott Moore,First Baseman,74,180,23.29
Derrek Lee,First Baseman,77,245,31.48
Ryan Theriot,Second Baseman,71,175,27.23
Ronny Cedeno,Shortstop,72,180,24.07
Aramis Ramirez,Third Baseman,73,215,28.68
Cesar Izturis,Third Baseman,69,175,27.05
Alfonso Soriano,Outfielder,73,180,31.15
Jacque Jones,Outfielder,70,195,31.85
Daryle Ward,Outfielder,74,230,31.68
Cliff Floyd,Outfielder,76,230,34.23
Mark DeRosa,Outfielder,73,205,32.01
Matt Murton,Outfielder,73,215,25.41
Buck Coats,Outfielder,75,195,24.73
Angel Pagan,Outfielder,73,180,25.66
Sean Marshall,Starting Pitcher,79,205,24.5
Carlos Marmol,Starting Pitcher,74,180,24.38
Ryan O'Malley,Starting Pitcher,73,190,26.89
Juan Mateo,Starting Pitcher,74,180,24.2
Rich Hill,Starting Pitcher,77,190,26.97
Angel Guzman,Starting Pitcher,75,190,25.21
Wade Miller,Starting Pitcher,74,220,30.46
Jason Marquis,Starting Pitcher,73,210,28.53
Carlos Zambrano,Starting Pitcher,77,255,25.75
Ted Lilly,Starting Pitcher,73,190,31.15
Mark Prior,Starting Pitcher,77,230,26.48
Neal Cotts,Relief Pitcher,74,200,26.93
Will Ohman,Relief Pitcher,74,205,29.55
Scott Eyre,Relief Pitcher,73,210,34.75
Kerry Wood,Relief Pitcher,77,225,29.71
Ryan Dempster,Relief Pitcher,74,215,29.83
Bob Howry,Relief Pitcher,77,220,33.57
Mike Wuertz,Relief Pitcher,75,205,28.21
Roberto Novoa,Relief Pitcher,77,200,27.54
Chris Snyder,Catcher,75,220,26.05
Miguel Montero,Catcher,71,197,23.64
Conor Jackson,First Baseman,74,225,24.82
Robby Hammock,First Baseman,70,187,29.8
Tony Clark,First Baseman,79,245,34.71
Orlando Hudson,Second Baseman,72,185,29.22
Stephen Drew,Shortstop,72,185,23.96
Alberto Callaspo,Shortstop,70,175,23.87
Chad Tracy,Third Baseman,74,200,26.77
Chris Young,Outfielder,74,180,23.49
Scott Hairston,Outfielder,72,188,26.77
Carlos Quentin,Outfielder,73,225,24.51
Jeff DaVanon,Outfielder,72,200,33.23
Eric Byrnes,Outfielder,74,210,31.04
Livan Hernandez,Starting Pitcher,74,245,32.02
Doug Davis,Starting Pitcher,76,213,31.44
Randy Johnson,Starting Pitcher,82,231,43.47
Juan Cruz,Starting Pitcher,74,165,28.38
Brandon Webb,Starting Pitcher,74,228,27.81
Enrique Gonzalez,Starting Pitcher,70,210,24.57
Dana Eveland,Starting Pitcher,73,250,23.34
Brandon Medders,Relief Pitcher,73,191,27.09
Tony Pe?a,Relief Pitcher,74,190,25.14
Doug Slaten,Relief Pitcher,77,200,27.07
Edgar Gonzalez,Relief Pitcher,72,215,24.02
